#2026-09-25
000000	XEROX CORPORATION	US
000001	XEROX CORPORATION	US
000002	XEROX CORPORATION	US
000003	XEROX CORPORATION	US
000004	XEROX CORPORATION	US
000005	XEROX CORPORATION	US
000006	XEROX CORPORATION	US
000007	XEROX CORPORATION	US
000008	XEROX CORPORATION	US
000009	XEROX CORPORATION	US
00000A	OMRON TATEISI ELECTRONICS CO.	JP
00000B	MATRIX CORPORATION	US
00000C	Cisco Systems, Inc	US
00000D	FIBRONICS LTD.	IL
00000E	FUJITSU LIMITED	JP
00000F	NEXT, INC.	US
000010	SYTEK INC.	US
000011	NORMEREL SYSTEMES	FR
000012	INFORMATION TECHNOLOGY LIMITED	GB
000013	CAMEX	US
000014	NETRONIX	US
000015	DATAPOINT CORPORATION	US
000016	DU PONT PIXEL SYSTEMS .	GB
000017	Oracle	US
000018	WEBSTER COMPUTER CORPORATION	US
000019	APPLIED DYNAMICS INTERNATIONAL	US
00001A	ADVANCED MICRO DEVICES	US
00001B	Novell, Inc.	US
00001C	BELL TECHNOLOGIES	US
00001D	Cabletron Systems, Inc.	US
00001E	TELSIST INDUSTRIA ELECTRONICA	BR
00001F	Telco Systems, Inc.	US
000020	DATAINDUSTRIER DIAB AB	SE
000021	SUREMAN COMP. & COMMUN. CORP.	TW
000022	VISUAL TECHNOLOGY INC.	US
000023	ABB INDUSTRIAL SYSTEMS AB	SE
000024	CONNECT AS	DK
000025	RAMTEK CORP.	US
000026	SHA-KEN CO., LTD.	JP
000027	JAPAN RADIO COMPANY	JP
000028	PRODIGY SYSTEMS CORPORATION	US
000029	IMC NETWORKS CORP.	US
00002A	TRW - SEDD/INP	US
00002B	CRISP AUTOMATION, INC	US
00002C	AUTOTOTE LIMITED	US
00002D	CHROMATICS INC	US
00002E	SOCIETE EVIRA	FR
00002F	TIMEPLEX INC.	US
000030	VG LABORATORY SYSTEMS LTD	GB
000031	QPSX COMMUNICATIONS, LTD.	AU
000032	Marconi plc	GB
000033	EGAN MACHINERY COMPANY	US
000034	NETWORK RESOURCES CORPORATION	US
000035	SPECTRAGRAPHICS CORPORATION	US
000036	ATARI CORPORATION	US
000037	OXFORD METRICS LIMITED	GB
000038	CSS LABS	US
000039	TOSHIBA CORPORATION	JP
00003A	CHYRON CORPORATION	US
00003B	i Controls, Inc.	KR
00003C	AUSPEX SYSTEMS INC.	US
00003D	UNISYS	US
00003E	SIMPACT	US
00003F	SYNTREX, INC.	US
000040	APPLICON, INC.	US
000041	ICE CORPORATION	US
000042	METIER MANAGEMENT SYSTEMS LTD.	GB
000043	MICRO TECHNOLOGY	US
000044	CASTELLE CORPORATION	US
000045	FORD AEROSPACE & COMM. CORP.	US
000046	OLIVETTI NORTH AMERICA	US
000047	NICOLET INSTRUMENTS CORP.	US
000048	Seiko Epson Corporation	JP
